server_type,cooling_type,datacenter_region,time_of_day,workload_intensity,cpu_utilization,memory_utilization,network_throughput_gbps,inlet_temperature_c,cooling_efficiency,power_consumption_kw,carbon_emission_kg,compute_cost_usd,pue,energy_efficiency_class
Storage,Liquid,NA,Peak,0.847,60.927,98.0,12.972,20.432,1.0,89.43,39.45,10.874,2.476,High
Compute,Liquid,NA,Peak,0.443,39.982,54.069,15.945,24.551,1.0,72.827,27.905,8.518,1.397,High
Storage,Air,APAC,Off-Peak,0.506,52.466,59.863,8.619,24.465,0.67,56.328,31.018,4.511,1.765,Low
Compute,Hybrid,NA,Peak,0.859,66.296,68.907,10.544,20.262,0.747,97.444,39.861,12.277,1.777,Low
Compute,Hybrid,APAC,Night,0.179,33.849,66.265,10.735,16.927,0.683,76.32,44.415,5.648,1.296,Medium
Edge,Hybrid,NA,Off-Peak,0.635,58.253,94.252,24.778,24.782,0.725,68.165,28.187,8.704,1.87,Low
Edge,Liquid,NA,Night,0.62,59.919,83.582,19.022,16.355,0.93,54.34,21.033,6.376,1.188,High
GPU,Air,APAC,Peak,0.483,46.661,57.057,8.745,33.255,0.903,102.577,59.348,8.106,1.448,Medium
Compute,Hybrid,EU,Night,0.847,66.92,48.223,15.761,15.587,0.72,70.938,15.996,13.086,1.445,Medium
Compute,Air,NA,Peak,0.949,84.604,87.875,16.916,28.418,0.859,87.672,34.913,10.955,1.753,Low
Storage,Liquid,APAC,Peak,0.519,47.08,68.387,5.781,15.767,0.744,70.012,42.663,5.316,1.136,High
Storage,Air,NA,Peak,0.511,45.177,76.334,17.23,15.471,0.888,107.821,42.282,12.298,1.565,Medium
Compute,Hybrid,NA,Off-Peak,0.552,50.408,45.874,5.743,22.426,0.7,79.116,33.2,9.621,1.577,Low
Storage,Air,APAC,Peak,0.751,62.747,59.38,13.8,18.367,0.91,80.742,49.749,7.007,1.33,High
Compute,Air,APAC,Off-Peak,0.701,52.031,54.804,8.188,26.986,0.843,64.694,41.04,5.097,1.675,Low
Edge,Liquid,NA,Peak,0.301,23.846,72.13,9.303,24.81,0.941,52.84,22.072,7.302,1.602,Low
Compute,Liquid,NA,Peak,0.158,18.321,26.913,16.846,18.805,0.939,86.809,38.74,10.621,1.29,High
Storage,Liquid,APAC,Off-Peak,0.954,77.292,53.338,30.455,17.495,0.897,70.699,44.261,6.212,1.533,Medium
Compute,Air,NA,Peak,0.335,33.94,65.561,14.56,18.357,0.66,65.79,27.807,7.72,1.575,Low
Storage,Air,NA,Off-Peak,0.675,53.184,39.153,17.523,18.138,0.787,99.701,39.785,11.881,1.513,Medium
Storage,Liquid,EU,Off-Peak,0.846,67.004,76.005,12.068,15.5,0.981,62.092,17.028,10.847,1.184,High
Compute,Hybrid,ME,Night,0.37,38.537,53.945,10.861,15.315,0.622,79.679,40.688,4.331,1.555,Low
Edge,Hybrid,NA,Peak,0.672,55.45,28.447,13.526,23.544,0.919,64.478,27.326,8.139,1.32,High
GPU,Air,APAC,Night,0.197,19.174,75.116,25.142,25.67,0.827,83.644,49.914,6.779,1.537,Medium
Edge,Hybrid,EU,Off-Peak,0.973,73.027,44.662,11.84,19.823,0.98,76.834,22.969,14.587,1.05,High
GPU,Air,EU,Night,0.152,17.176,66.473,4.591,20.847,0.949,98.28,26.251,18.753,1.156,High
Storage,Liquid,APAC,Peak,0.494,51.273,79.828,6.614,21.758,0.879,66.733,38.751,5.46,1.475,Medium
Edge,Air,ME,Off-Peak,0.583,49.391,71.281,10.319,19.608,0.682,90.309,40.183,5.317,1.457,Medium
Compute,Air,NA,Night,0.811,60.754,85.865,20.456,21.369,0.842,73.096,28.976,8.663,1.498,Medium
Compute,Liquid,NA,Peak,0.209,18.799,36.4,3.958,19.002,1.0,50.2,23.784,5.766,1.217,High
Compute,Liquid,ME,Off-Peak,0.497,40.306,53.393,11.037,24.021,1.0,82.009,40.844,4.402,1.642,Low
Compute,Air,EU,Night,0.37,42.011,80.814,8.992,19.608,0.902,78.965,15.332,13.957,1.329,High
Compute,Air,EU,Off-Peak,0.381,35.359,84.902,10.481,24.001,0.747,67.401,13.753,13.139,1.56,Low
Compute,Air,EU,Peak,0.801,67.2,98.0,11.568,24.411,0.753,88.051,20.922,16.37,1.654,Low
GPU,Liquid,APAC,Off-Peak,0.105,16.935,48.766,44.658,17.858,0.742,118.681,70.907,9.172,1.252,High
Compute,Air,APAC,Peak,0.774,64.169,70.216,11.584,26.294,0.758,88.184,53.465,7.578,1.566,Low
Compute,Air,ME,Night,0.829,68.054,84.846,11.427,19.672,0.734,99.765,46.092,5.768,1.459,Medium
Storage,Liquid,EU,Peak,0.911,67.515,68.228,12.435,20.504,1.0,62.209,16.339,10.82,1.303,High
Compute,Liquid,NA,Peak,0.664,51.917,36.165,22.616,19.988,0.898,150.137,60.659,17.204,1.639,Low
GPU,Liquid,EU,Peak,0.4,33.693,74.158,22.415,27.459,0.883,83.253,19.502,16.196,1.541,Medium
Compute,Liquid,EU,Off-Peak,0.485,39.987,62.333,25.643,18.578,0.975,83.253,21.968,15.181,1.347,High
Edge,Hybrid,EU,Night,0.973,75.414,80.551,19.163,21.151,0.915,67.013,19.251,11.922,1.412,Medium
GPU,Hybrid,EU,Peak,0.893,75.348,85.27,11.276,20.877,0.756,132.549,31.886,24.133,1.32,High
Compute,Hybrid,NA,Peak,0.517,39.903,75.919,23.51,22.068,0.744,61.409,27.053,7.311,1.481,Medium
Compute,Liquid,EU,Peak,0.949,71.261,80.396,18.981,24.207,0.98,77.283,19.134,14.487,1.606,Medium
GPU,Air,EU,Night,0.841,65.496,75.483,20.025,21.84,0.875,107.391,28.284,19.258,1.469,Medium
GPU,Hybrid,APAC,Off-Peak,0.911,69.436,82.783,17.108,26.58,0.724,130.182,78.007,10.651,1.634,Low
GPU,Air,EU,Peak,0.715,64.828,53.667,19.177,23.407,0.907,121.554,29.179,21.788,1.471,Medium
GPU,Air,NA,Off-Peak,0.872,0.499,67.382,15.593,28.733,0.785,126.592,51.458,15.143,1.654,Low
Compute,Air,EU,Peak,0.903,80.757,61.956,13.994,24.868,0.924,82.489,20.222,15.301,1.526,Medium
Compute,Air,APAC,Off-Peak,0.183,27.888,55.959,8.864,22.651,0.927,75.357,47.224,5.906,1.438,Medium
Compute,Hybrid,EU,Peak,0.969,74.219,70.609,14.399,24.316,0.844,107.779,27.021,17.923,1.405,Medium
GPU,Liquid,EU,Night,0.4,40.058,36.352,11.768,16.364,0.919,84.673,25.521,15.979,1.091,High
Storage,Liquid,EU,Night,0.496,46.282,54.681,9.941,19.672,1.0,63.732,16.053,12.045,1.324,High
Compute,Liquid,NA,Off-Peak,0.813,66.452,86.93,18.102,18.592,0.93,98.713,40.805,11.717,1.351,High
Compute,Air,APAC,Off-Peak,0.698,53.811,63.657,9.986,21.217,0.926,99.413,60.75,8.315,1.413,High
Compute,Air,NA,Off-Peak,0.904,71.406,74.891,16.711,22.83,0.873,176.162,71.351,21.086,1.401,Medium
Compute,Liquid,EU,Peak,0.461,42.528,95.722,12.189,15.0,0.983,78.476,18.381,13.751,1.175,High
GPU,Liquid,NA,Off-Peak,0.436,41.142,69.383,7.598,17.086,1.0,96.202,37.768,11.789,1.05,High
Storage,Air,NA,Off-Peak,0.129,11.925,81.523,14.696,24.452,0.747,46.741,18.656,6.018,1.556,Low
GPU,Liquid,EU,Night,0.516,41.49,69.514,19.706,20.887,0.895,93.774,23.016,17.284,1.513,Medium
Storage,Air,EU,Peak,0.752,64.481,63.813,22.922,27.514,0.904,86.488,22.899,16.189,1.474,Medium
Compute,Air,APAC,Off-Peak,0.371,26.617,56.89,17.742,23.562,0.737,65.398,37.572,4.923,1.243,High
GPU,Air,APAC,Off-Peak,0.516,42.868,71.499,10.609,23.074,0.884,100.676,59.541,8.421,1.545,Medium
GPU,Air,APAC,Peak,0.297,25.186,64.042,13.079,24.127,0.932,104.67,62.846,7.644,1.558,Medium
Storage,Hybrid,EU,Off-Peak,0.796,68.592,89.631,12.236,20.799,0.819,73.539,18.059,13.597,1.512,Medium
GPU,Hybrid,EU,Night,0.154,12.81,94.777,17.445,20.821,0.944,85.208,22.286,15.877,1.225,High
Storage,Air,EU,Night,0.735,67.792,84.686,9.278,18.698,0.923,86.212,21.818,16.295,1.155,High
Storage,Liquid,EU,Off-Peak,0.441,42.156,66.63,19.47,18.851,0.851,71.236,16.578,13.412,1.542,Medium
Storage,Liquid,EU,Peak,0.137,19.666,66.294,4.525,24.029,0.959,55.631,14.737,10.299,1.692,Low
Compute,Air,ME,Night,0.868,65.67,80.862,29.905,23.359,0.75,105.123,49.125,4.819,2.204,Low
Compute,Air,NA,Off-Peak,0.539,50.111,69.783,31.11,24.089,0.84,68.531,29.395,9.15,1.733,Low
Compute,Hybrid,ME,Peak,0.639,59.51,61.722,9.955,20.157,0.751,96.565,46.518,5.185,1.361,Medium
Storage,Liquid,NA,Peak,0.759,58.725,62.759,11.574,24.066,1.0,130.406,54.622,15.42,1.492,Medium
Compute,Hybrid,NA,Peak,0.69,62.956,74.202,19.211,17.01,0.776,84.108,35.07,9.048,1.374,Medium
Storage,Air,NA,Peak,0.758,62.713,56.269,15.052,22.964,0.974,71.382,31.486,8.075,1.344,High
Edge,Liquid,EU,Off-Peak,0.786,66.768,69.736,10.003,19.892,0.979,86.326,22.811,15.373,1.407,High
Compute,Air,NA,Peak,0.63,53.575,92.455,32.538,27.503,0.8,76.852,31.927,8.481,1.68,Low
Storage,Air,APAC,Peak,0.429,47.156,45.433,8.116,23.545,0.902,54.743,33.838,3.621,1.302,High
GPU,Liquid,APAC,Peak,0.319,26.531,54.8,11.021,22.404,1.0,74.453,47.155,5.822,1.224,High
Compute,Air,EU,Off-Peak,0.913,68.616,68.216,45.861,19.909,0.812,73.858,16.939,13.391,1.408,Medium
Compute,Air,EU,Peak,0.973,73.091,90.64,15.816,26.202,0.823,231.894,57.974,41.741,1.372,Medium
Compute,Air,ME,Peak,0.422,45.072,70.286,10.328,28.239,0.784,65.287,32.508,3.953,1.7,Low
Compute,Air,APAC,Peak,0.201,20.04,72.048,4.427,24.827,0.88,82.758,50.041,5.984,1.545,Medium
Edge,Liquid,EU,Off-Peak,0.3,23.748,78.348,15.924,23.489,1.0,51.108,15.572,9.466,2.356,Medium
GPU,Air,APAC,Peak,0.704,54.498,98.0,26.003,26.041,0.774,101.095,60.998,7.89,1.401,Medium
Storage,Air,EU,Off-Peak,0.256,24.884,32.218,4.473,25.247,0.945,49.634,11.381,8.149,1.476,Medium
GPU,Air,EU,Peak,0.802,61.911,98.0,16.589,25.798,0.753,119.777,28.503,21.915,1.605,Low
GPU,Air,NA,Peak,0.931,81.4,92.189,11.514,18.637,0.894,109.655,43.998,13.047,1.477,Medium
Compute,Liquid,EU,Peak,0.967,78.367,98.0,18.678,24.532,1.0,89.717,22.728,16.643,1.254,High
GPU,Air,NA,Peak,0.108,14.489,52.049,6.042,26.804,0.834,74.837,31.252,9.385,1.827,Low
Storage,Liquid,NA,Peak,0.962,73.573,77.335,30.256,21.439,0.954,138.075,54.348,16.84,1.588,Medium
GPU,Air,EU,Peak,0.766,65.706,55.751,29.162,21.475,0.745,123.105,29.5,21.576,1.489,Medium
GPU,Air,ME,Peak,0.176,21.886,35.501,9.459,24.877,0.719,91.959,44.393,4.063,1.736,Low
Compute,Hybrid,ME,Off-Peak,0.474,34.883,65.234,19.787,20.007,0.862,70.334,33.513,3.17,1.216,High
Compute,Liquid,EU,Peak,0.73,55.112,64.33,33.671,15.239,0.979,88.421,24.198,16.076,1.415,High
Compute,Air,EU,Night,0.961,68.603,71.13,28.988,27.351,0.918,115.199,25.252,20.563,1.565,Medium
Storage,Hybrid,NA,Night,0.248,30.833,48.221,14.242,22.826,0.91,46.438,16.656,4.901,1.754,Low
GPU,Air,EU,Off-Peak,0.215,21.543,66.153,20.647,20.641,0.776,119.233,25.322,21.432,1.551,Low
GPU,Hybrid,NA,Peak,0.525,50.33,69.691,9.422,20.963,0.858,118.484,43.062,14.128,1.545,Medium
Compute,Liquid,NA,Night,0.971,75.282,77.532,13.001,17.69,0.92,83.513,32.1,9.705,1.179,High
Storage,Liquid,EU,Peak,0.974,77.554,62.45,16.254,23.462,0.906,86.649,18.183,15.619,1.418,Medium
Storage,Hybrid,NA,Peak,0.305,1.35,48.102,11.763,22.567,0.943,52.364,20.66,5.734,1.482,Medium
Compute,Air,NA,Peak,0.387,30.175,64.45,12.89,26.085,0.941,65.635,25.78,8.592,1.631,Low
Compute,Liquid,APAC,Night,0.917,77.187,57.653,23.607,15.0,1.0,91.288,53.058,7.418,1.135,High
Compute,Air,NA,Peak,0.761,57.259,75.427,8.411,22.634,0.93,118.041,49.585,13.194,2.294,Medium
Edge,Air,NA,Night,0.975,75.856,57.835,11.373,19.487,0.745,75.301,30.855,8.379,1.587,Low
Compute,Air,NA,Peak,0.904,76.205,90.36,10.861,23.428,0.948,94.987,38.385,10.929,1.572,Medium
Storage,Air,NA,Night,0.294,26.348,51.557,7.747,16.653,0.937,76.2,31.961,8.78,1.289,High
GPU,Liquid,NA,Night,0.784,66.063,93.857,31.283,17.209,1.0,113.331,43.426,13.281,1.185,High
Compute,Liquid,APAC,Night,0.144,26.395,67.065,11.027,21.203,0.982,122.023,74.627,10.141,1.405,High
Edge,Liquid,NA,Off-Peak,0.836,70.454,59.814,17.82,15.839,0.996,75.693,30.444,9.713,1.144,High
Edge,Air,APAC,Night,0.641,58.544,73.484,9.151,19.538,0.765,74.237,43.38,5.969,1.079,High
Compute,Air,NA,Night,0.96,82.11,93.112,18.656,18.939,0.714,87.48,39.848,10.053,1.488,Low
Storage,Hybrid,EU,Peak,0.964,72.729,64.043,10.106,19.701,0.886,74.284,15.239,12.657,1.658,Low
Compute,Air,EU,Off-Peak,0.146,16.509,50.654,14.132,15.0,0.774,75.898,17.794,14.254,1.229,High
Compute,Liquid,EU,Off-Peak,0.244,19.488,64.883,26.934,16.818,1.0,81.363,22.749,14.352,1.178,High
Compute,Liquid,EU,Peak,0.536,52.992,82.023,15.653,19.001,0.948,59.922,12.559,10.702,1.493,Medium
Storage,Liquid,ME,Off-Peak,0.892,67.59,71.155,15.321,22.005,0.945,73.813,35.73,5.084,1.568,Medium
Storage,Liquid,NA,Peak,0.833,66.041,77.346,17.208,20.982,0.928,66.675,26.27,7.424,1.476,Medium
Compute,Hybrid,EU,Off-Peak,0.968,73.02,94.844,20.632,23.652,0.799,85.281,20.528,14.713,1.602,Low
Compute,Air,APAC,Peak,0.656,57.564,58.641,18.206,25.033,0.827,78.633,46.336,6.075,1.666,Low
Edge,Hybrid,NA,Peak,0.331,37.526,45.749,10.0,22.094,0.925,43.283,19.955,4.985,1.391,High
Compute,Air,NA,Peak,0.123,19.302,75.003,5.833,30.56,0.724,66.356,26.565,8.152,1.736,Low
Compute,Air,NA,Night,0.301,29.804,70.596,17.136,19.829,0.939,62.051,24.276,7.935,1.309,High
Storage,Air,EU,Peak,0.708,57.449,47.133,10.995,25.184,0.916,74.71,18.765,14.123,1.562,Medium
Edge,Liquid,NA,Night,0.934,66.453,97.594,19.165,15.491,0.939,64.119,25.699,8.131,1.403,High
Compute,Air,NA,Off-Peak,0.389,31.538,73.326,8.199,21.49,0.858,111.84,48.928,13.231,1.704,Low
Storage,Air,EU,Off-Peak,0.888,69.504,79.989,12.67,37.735,0.737,75.739,19.3,13.005,1.613,Low
GPU,Air,EU,Peak,0.455,39.711,62.358,11.186,25.199,0.91,108.792,27.644,19.972,1.369,High
Compute,Hybrid,NA,Peak,0.377,32.03,54.648,7.082,20.007,0.838,73.331,30.272,8.846,1.351,High
GPU,Hybrid,NA,Off-Peak,0.558,49.543,70.733,7.201,21.748,0.878,108.123,40.77,13.821,1.673,Low
Compute,Liquid,EU,Peak,0.498,39.171,81.383,20.87,24.1,1.0,78.811,17.267,13.038,1.475,Medium
Storage,Liquid,ME,Off-Peak,0.922,72.076,60.365,12.944,16.987,0.983,84.972,35.345,3.19,1.398,High
Storage,Air,EU,Night,0.521,41.553,64.902,18.955,18.991,0.873,50.081,16.035,8.869,1.358,High
Storage,Air,APAC,Peak,0.35,34.888,75.214,14.975,23.089,0.812,60.946,35.942,5.301,1.464,Medium
Compute,Hybrid,NA,Off-Peak,0.858,71.71,88.737,19.372,20.273,0.802,119.035,44.906,14.718,1.576,Low
GPU,Air,NA,Night,0.999,72.544,65.299,20.012,22.383,0.912,156.052,62.22,18.033,1.383,High
Compute,Air,EU,Night,0.683,50.874,70.643,26.285,21.123,0.912,70.687,18.015,13.235,1.509,Medium
Compute,Air,APAC,Night,0.325,30.038,54.459,8.003,21.635,0.9,92.181,52.499,7.998,1.61,Low
Compute,Air,EU,Night,0.315,27.114,63.543,23.76,25.14,0.853,76.692,20.003,14.003,1.652,Low
Storage,Air,APAC,Peak,0.152,14.197,61.244,8.083,25.429,0.834,42.903,27.144,3.398,1.635,Low
Storage,Liquid,ME,Night,0.17,19.63,61.187,10.929,19.335,1.0,56.64,31.04,2.155,1.306,High
Compute,Air,NA,Night,0.923,81.116,91.331,25.674,19.37,0.628,81.244,31.745,9.96,1.803,Low
Storage,Liquid,NA,Off-Peak,0.187,16.264,60.32,9.458,20.545,1.0,49.415,19.045,6.599,1.486,Medium
Compute,Air,NA,Peak,0.536,41.167,41.965,14.398,25.953,0.784,93.188,36.225,11.9,1.531,Low
Storage,Air,NA,Off-Peak,0.728,57.448,58.341,11.864,22.203,0.927,63.66,24.226,8.741,1.182,High
Compute,Air,NA,Peak,0.865,72.401,98.0,21.509,25.92,0.75,68.999,28.312,8.46,1.813,Low
Storage,Liquid,APAC,Peak,0.254,26.775,48.719,9.445,16.445,1.0,43.653,23.344,3.586,1.087,High
Compute,Air,NA,Off-Peak,0.494,40.858,72.917,21.151,24.467,0.89,69.049,29.641,7.875,1.218,High
Edge,Liquid,NA,Off-Peak,0.326,1.122,82.509,9.538,15.06,0.833,75.208,31.061,8.6,1.214,High
Compute,Liquid,NA,Off-Peak,0.33,40.531,88.741,32.907,22.961,0.955,70.595,33.16,8.648,1.329,High
Compute,Liquid,ME,Peak,0.373,35.316,65.211,4.528,20.453,0.94,68.159,31.907,3.235,1.331,High
Compute,Air,EU,Off-Peak,0.628,57.645,81.205,14.327,20.774,0.753,83.437,21.673,14.997,1.508,Low
Edge,Air,ME,Peak,0.115,12.167,56.678,2.615,27.274,0.894,65.292,30.53,2.554,1.738,Low
GPU,Air,ME,Peak,0.468,35.156,53.526,15.38,26.186,0.826,120.805,61.921,6.145,1.56,Low
Compute,Liquid,EU,Off-Peak,0.268,35.951,60.273,8.92,19.03,0.859,57.109,14.924,10.761,1.273,High
Storage,Air,NA,Peak,0.97,75.951,64.937,18.185,16.984,0.871,100.656,42.387,11.822,1.555,Medium
GPU,Hybrid,NA,Peak,0.624,48.717,89.201,8.585,25.982,0.76,90.563,34.646,11.062,1.649,Low
Storage,Hybrid,NA,Peak,0.881,65.606,98.0,13.892,23.283,0.802,68.163,26.294,7.977,1.363,Medium
Storage,Air,APAC,Off-Peak,0.276,22.88,64.023,7.771,21.356,0.902,42.569,25.039,3.359,1.343,High
Compute,Air,NA,Off-Peak,0.829,74.121,58.841,27.139,20.101,0.847,91.903,35.861,10.665,1.428,Medium
Compute,Liquid,NA,Peak,0.473,45.257,49.545,21.507,24.804,0.915,61.205,19.369,7.239,1.324,High
GPU,Air,EU,Peak,0.26,30.526,79.597,12.054,26.125,0.685,97.391,20.723,17.493,1.616,Low
Edge,Air,EU,Off-Peak,0.785,65.264,59.473,8.412,27.957,0.803,90.522,22.011,16.776,1.651,Low
Storage,Hybrid,EU,Night,0.786,69.347,46.937,13.315,22.899,0.787,76.413,19.197,13.229,1.441,Medium
Compute,Air,NA,Off-Peak,0.996,86.317,89.9,10.737,23.66,0.862,107.243,46.844,12.646,1.5,Medium
Compute,Hybrid,APAC,Night,0.803,65.12,79.135,13.715,20.358,0.773,79.093,50.284,6.941,1.487,Medium
GPU,Liquid,EU,Off-Peak,0.231,22.518,43.344,3.282,15.0,0.888,82.668,21.6,14.687,1.345,High
GPU,Liquid,NA,Off-Peak,0.39,45.128,61.967,32.318,21.13,0.945,107.065,41.596,12.431,1.417,High
GPU,Air,APAC,Night,0.507,39.236,78.738,9.178,21.509,0.726,110.342,66.271,8.583,1.689,Low
GPU,Air,ME,Off-Peak,0.214,28.241,69.412,17.739,22.941,0.887,120.3,60.546,6.528,1.527,Medium
Storage,Liquid,NA,Night,0.809,70.132,67.072,17.167,15.68,1.0,76.977,29.053,9.508,1.316,High
Compute,Air,NA,Off-Peak,0.574,50.565,54.369,22.632,25.163,0.984,99.255,38.4,13.485,1.543,Medium
Compute,Air,EU,Night,0.95,72.968,63.988,33.637,19.48,0.913,75.262,18.755,13.082,1.529,Medium
GPU,Air,NA,Off-Peak,0.63,61.616,72.215,18.368,19.771,0.984,107.262,40.88,12.947,1.05,High
Storage,Air,APAC,Night,0.571,48.579,79.534,17.054,18.096,0.863,73.291,43.749,6.086,1.34,High
Compute,Air,NA,Peak,0.164,14.0,65.81,8.78,21.447,0.902,53.129,20.607,6.422,1.354,High
Compute,Liquid,APAC,Off-Peak,0.234,25.586,43.101,21.755,21.891,0.81,73.827,48.378,6.057,1.436,Medium
Storage,Air,EU,Night,0.865,75.562,81.712,17.21,19.733,0.86,70.131,18.81,13.72,1.175,High
Compute,Air,EU,Peak,0.992,79.232,52.839,13.03,24.736,0.895,87.857,29.045,15.623,1.389,High
Compute,Liquid,NA,Off-Peak,0.474,41.0,88.243,8.539,23.094,0.964,74.753,26.802,8.914,1.514,Medium
Storage,Hybrid,NA,Night,0.829,67.162,97.579,40.996,16.108,0.812,92.431,37.99,10.976,1.491,Medium
Storage,Air,NA,Peak,0.665,51.425,66.616,12.717,21.622,0.811,78.306,31.294,8.971,1.514,Medium
Storage,Air,NA,Off-Peak,0.963,72.03,64.779,22.66,23.494,0.91,81.931,28.621,8.628,1.303,High
Compute,Liquid,NA,Off-Peak,0.314,23.445,69.32,7.522,17.426,1.0,57.951,22.341,6.483,1.079,High
GPU,Hybrid,APAC,Off-Peak,0.59,46.186,58.864,19.629,24.053,0.837,105.485,63.542,9.091,1.587,Low
Compute,Liquid,NA,Peak,0.468,50.63,49.347,8.011,20.545,0.99,75.884,30.025,8.507,1.235,High
Compute,Liquid,APAC,Peak,0.588,48.974,41.383,18.189,18.757,0.873,63.851,40.491,5.174,1.641,Low
GPU,Air,EU,Peak,0.342,32.001,82.271,10.425,22.981,0.959,140.03,34.355,25.208,1.481,Medium
Storage,Liquid,APAC,Peak,0.548,49.175,79.177,18.277,23.474,1.0,93.303,61.709,7.589,1.511,Medium
GPU,Air,ME,Peak,0.662,49.752,59.937,13.068,24.072,0.897,96.693,47.953,4.486,1.394,High
Storage,Liquid,NA,Off-Peak,0.173,21.689,65.873,9.323,20.136,0.957,56.111,18.679,8.053,1.461,Medium
Storage,Liquid,APAC,Off-Peak,0.769,61.033,64.12,12.607,16.546,1.0,69.79,40.883,5.888,1.387,High
Compute,Hybrid,EU,Off-Peak,0.736,53.073,66.074,10.243,17.984,0.884,81.009,21.315,14.45,1.212,High
Compute,Air,APAC,Peak,0.892,80.124,66.383,11.165,22.337,0.893,101.009,58.091,8.397,1.266,High
Compute,Air,EU,Off-Peak,0.483,50.271,77.151,26.614,20.839,0.9,76.581,17.566,13.02,1.612,Low
Compute,Liquid,EU,Peak,0.156,20.898,52.419,3.917,22.717,0.922,101.875,29.574,18.501,1.553,Medium
Edge,Liquid,NA,Night,0.515,49.044,54.028,21.538,15.0,0.882,71.052,27.029,9.184,1.28,High
Compute,Liquid,NA,Off-Peak,0.224,26.752,45.53,10.907,15.565,1.0,68.286,31.522,8.003,2.54,High
GPU,Air,EU,Night,0.683,49.477,48.843,13.268,22.848,0.741,101.333,26.058,18.642,1.509,Low
Storage,Air,ME,Peak,0.142,26.934,62.11,9.5,26.323,0.725,55.15,25.461,2.823,1.455,Medium
GPU,Liquid,APAC,Off-Peak,0.437,1.451,42.87,20.912,20.72,1.0,148.688,86.281,12.915,1.245,High
Storage,Air,NA,Off-Peak,0.175,21.32,77.313,9.769,19.443,0.86,59.534,25.071,6.577,1.554,Medium
